team,win_pct,final_pct,semi_pct,qf_pct,r16_pct,r32_pct,group_exit_pct
Mexico,3.74,7.34,14.9,29.3,55.8,61.76,38.24
Germany,3.36,6.81,13.26,26.14,49.73,61.7,38.3
Brazil,3.07,6.06,12.31,25.06,49.45,61.65,38.35
Switzerland,3.02,5.97,12.31,24.21,49.59,61.6,38.4
South Africa,2.83,5.55,11.21,22.07,41.93,54.47,45.53
Ivory Coast,2.77,5.6,11.04,21.67,41.18,54.46,45.54
Egypt,2.74,5.55,10.8,22.04,43.65,61.68,38.32
Netherlands,2.67,5.47,10.79,21.28,43.51,61.61,38.39
Canada,2.58,5.07,10.28,20.25,41.36,54.52,45.48
Morocco,2.58,5.09,10.35,21.02,41.25,54.45,45.55
Japan,2.53,5.14,10.09,19.81,40.43,54.59,45.41
USA,2.52,4.98,10.13,20.64,43.65,61.76,38.24
Iran,2.51,5.14,10.04,20.36,40.25,54.44,45.56
France,2.42,4.86,9.74,19.5,37.06,61.76,38.24
Australia,2.35,4.61,9.44,19.2,40.33,54.44,45.56
Uruguay,2.31,4.69,9.25,18.86,39.65,54.42,45.58
Ecuador,2.27,4.59,9.09,17.83,33.88,45.76,54.24
South Korea,2.21,4.36,8.88,17.45,33.19,45.68,54.32
Spain,2.19,4.46,8.79,17.84,37.61,61.71,38.29
Sweden,2.16,4.39,8.62,17.01,34.43,45.71,54.29
Scotland,2.14,4.16,8.46,17.26,33.86,45.76,54.24
Belgium,2.13,4.38,8.65,17.6,34.61,45.72,54.28
Bosnia and Herzegovina,2.12,4.18,8.46,16.66,33.88,45.65,54.35
Cabo Verde,2.06,4.19,8.19,16.64,35.02,45.73,54.27
Paraguay,2.0,3.94,7.99,16.3,34.37,45.66,54.34
Colombia,1.94,3.81,7.75,15.38,31.14,61.86,38.14
Argentina,1.9,3.83,7.67,15.46,31.19,61.8,38.2
Norway,1.86,3.73,7.38,14.75,28.06,54.59,45.41
Curaçao,1.85,3.73,7.41,14.55,27.78,38.07,61.93
New Zealand,1.81,3.71,7.31,14.78,29.05,38.16,61.84
Tunisia,1.8,3.66,7.23,14.25,28.94,38.1,61.9
Czechia,1.78,3.51,7.12,13.99,26.59,38.09,61.91
Saudi Arabia,1.77,3.59,7.07,14.37,30.31,38.14,61.86
Qatar,1.74,3.46,6.96,13.71,27.9,38.23,61.77
Haiti,1.74,3.42,6.9,14.09,27.81,38.15,61.85
Turkey,1.73,3.32,6.75,13.75,28.98,38.13,61.87
Portugal,1.69,3.36,6.76,13.57,27.2,54.54,45.46
Austria,1.68,3.4,6.81,13.58,27.21,54.5,45.5
Ghana,1.56,3.13,6.24,12.51,26.32,54.55,45.45
England,1.48,2.96,5.93,11.88,25.08,61.56,38.44
Senegal,1.44,2.89,5.8,11.58,22.05,45.57,54.43
Algeria,1.44,2.88,5.72,11.45,22.82,45.67,54.33
DR Congo,1.42,2.84,5.68,11.42,22.7,45.68,54.32
Croatia,1.38,2.75,5.53,11.11,23.4,45.61,54.39
Panama,1.21,2.43,4.85,9.64,20.23,38.28,61.72
Uzbekistan,1.19,2.36,4.69,9.43,18.88,37.92,62.08
Iraq,1.15,2.31,4.64,9.3,17.76,38.08,61.92
Jordan,1.15,2.34,4.75,9.43,18.92,38.02,61.98
